number,name,address,position.lat,position.lng
10739,Shannon Town Hall,,52.70583703,-8.877244776
10740,John & Paul Church,,52.7094576,-8.866469833
10741,Ballycasey Park,,52.71235506,-8.868480816
10742,Hurlers Cross,,52.70949728,-8.840987002
10743,Setrights Cross,,52.69325827,-8.756560193
10744,Radisson Hotel,,52.6826037,-8.712169822
10745,Two Mile Inn,,52.68020051,-8.699146161
10746,Cappagh,,52.73101872,-8.793473738
10747,Ministers Cross,,52.72054044,-8.813104152
10748,Ministers Cross,,52.72037461,-8.813693167
10749,Cappagh,,52.72859859,-8.799174243
10750,CRGNO,,52.73766941,-8.906419604
10751,Lifford Road,,52.85088778,-8.978304747
10752,ENCRO,,52.84343883,-8.987815918
10753,ENCRO,,52.84135674,-8.984191312
10754,Macs Cross,,52.83653179,-8.982909702
10755,West County Hotel,,52.83204013,-8.980448648
10756,Limerick Road,,52.82690648,-8.978448535
10757,St Joseph's Terrace,,52.82021943,-8.972971995
10758,Madden's Terrace,,52.8163466,-8.968449763
10759,Clarecastle,,52.81451769,-8.964566943
10760,Latoon Cross,,52.78578445,-8.919056657
10761,Newmarket-on-Fergus,,52.76297979,-8.898173396
10762,Boheraroan,,52.75914588,-8.895264717
10763,Skycourt Centre,,52.71130636,-8.881483535
10764,Tola Park,,52.70929011,-8.88789518
10765,Shannon Airport,,52.69217198,-8.919160576
10766,Boheraroan,,52.75913678,-8.895279347
10767,Newmarket-on-Fergus,,52.76178208,-8.89728939
10768,Clarecastle,,52.81456407,-8.964389954
10769,St Michael's Tce,,52.81636373,-8.96855399
10770,St Josephs Terrace,,52.82007479,-8.973072621
10771,Clareabbey,,52.82233725,-8.975571317
10772,Clon Road,,52.83624076,-8.982235239
10773,Tola Park,,52.70936067,-8.888074199
10774,Skycourt Centre,,52.71163934,-8.880217481
10775,Carmody Street,,52.84127377,-8.98444178
10776,Parnell Court,,52.84342812,-8.988023498
10777,Bridgetown Cross,,52.75390106,-8.508799532
10778,Ennistymon,,52.93907956,-9.293150077
10779,Corofin Cross,,52.92309631,-9.250540973
10780,Corofin,,52.94492575,-9.064418436
10781,Fountain Cross,,52.86602714,-9.026855629
10782,Kilfenora,,52.99031723,-9.215988831
10783,Lisdeen,,52.67310138,-9.587771595
10784,Moyasta,,52.66758445,-9.537847266
10785,Knockalough,,52.70994093,-9.261352915
10786,Lissycasey,,52.73936213,-9.17269412
10787,Sheedys Cross,,52.79454146,-9.06095101
10788,Shaughnessys Cross,,52.69606444,-9.34063807
10789,Kilmihil,,52.72064281,-9.31866873
10790,Fisher Street,,53.0129208,-9.383836459
10791,Stop No. 351681,,53.02941158,-9.289693453
10792,Liscannor,,52.93861845,-9.390495159
10793,Inagh,,52.87787831,-9.17559566
10794,O'Neills Cross,,52.86365749,-9.116146362
10795,Ennistymon Square,,52.94099884,-9.29353463
10796,Blackwater Cross,,52.70980682,-8.602628174
10797,Connors Cross,,52.70014523,-8.60074923
10798,Larkins Cross,,52.68960669,-8.60341504
10799,Mountshannon,,52.9319261,-8.427990267
10800,Bodyke,,52.88430911,-8.596828416
10801,Keoghs Cross,,52.8740456,-8.681878683
10802,Ryans Cross,,52.84930879,-8.705348859
10803,O'Callaghans Mills,,52.84200088,-8.685532827
10804,Broadford,,52.80595569,-8.632803708
10805,Fermoyle Cross,,52.7939983,-8.626684413
10806,Kilmore,,52.75406978,-8.592498875
10807,Knockdonagh Cross,,52.73754836,-8.603499379
10808,Killane Cross,,52.82732698,-8.754628382
10809,Kilkishen,,52.80702303,-8.747557953
10810,O'Neils Gate,,52.79425605,-8.76651102
10811,Kilmurry,,52.77713536,-8.782810514
10812,Ballyvaughan,,53.11607813,-9.147919363
10813,Bellharbour,,53.12182853,-9.071951148
10814,Crusheen,,52.93832884,-8.899018185
10815,West County Hotel,,52.83175245,-8.980457011
10816,Castle Lawn,,52.85002346,-8.973014724
10817,Smithstown Ind Est,,52.71601474,-8.873171435
10818,Cratloe,,52.69840755,-8.762315711
10819,Cratloe,,52.69841435,-8.762656115
10820,Lakyle Heights,,52.7082735,-8.610701674
10821,Elton Court,,52.70007517,-8.656349613
10822,Ballycannon Heights,,52.70307029,-8.649440195
10823,Fairyfield,,52.69467012,-8.61850038
10824,Firhill,,52.69828391,-8.607958351
10825,Bishop Murphy Park,,52.69701255,-8.613976808
10826,Meelick,,52.70095405,-8.653448029
10827,Lakyle Heights,,52.7083828,-8.610422033
10828,Firhill,,52.69820394,-8.607779702
10829,Ballycannon Heights,,52.7029086,-8.649422999
10830,Elton Court,,52.70006798,-8.656024005
10831,Doonbeg,,52.73039521,-9.529721647
10832,Craggaknock,,52.77198817,-9.4464186
10833,Quilty,,52.81716145,-9.456226407
10834,Spanish Point,,52.83747792,-9.42940165
10835,Miltown Malbay,,52.85621807,-9.400808435
10836,Rineen School,,52.89073842,-9.388902775
10837,Hanrahans Cross,,52.91631424,-9.346389954
10838,Toonagh,,52.89046728,-9.031846745
10839,Lemenagh Castle,,52.98695327,-9.1400396
10840,Kilnaboy,,52.97065001,-9.086191574
10841,Scariff,,52.91086987,-8.532090208
10842,New Quay,,53.15573656,-9.075217897
10843,Doolin,,53.01982994,-9.370881042
10844,Ballinalacken Castle,,53.04645387,-9.34161296
10845,Fanore,,53.10122227,-9.297440617
10846,Murroogh Bridge,,53.12444566,-9.277625157
10847,Blackhead,,53.14046816,-9.276217249
10848,New Quay,,53.15581636,-9.075339508
10849,Shragh,,52.70370424,-9.493332433
10850,Monmore,,52.6789253,-9.512940842
10851,Kilmaley,,52.82797604,-9.118852414
10852,Abbey West,,53.12025363,-9.071179915
10853,Abbey West,,53.12025484,-9.071045487
10854,Stop No. 346361,,53.01655471,-9.376634658
10855,Clonlara,,52.72445234,-8.553874294
10856,Monmore,,52.67887886,-9.513057552
10857,Shragh,,52.70372635,-9.493717931
10858,Connolly,,52.8289147,-9.177909096
10859,The Hand,,52.82100055,-9.264818917
10860,Coore Cross,,52.80530912,-9.347110945
10861,Doonogan,,52.79878679,-9.373484414
10862,Clooney,,52.86363814,-8.86777096
10863,Norrie Hencheys,,52.85689354,-8.850886804
10864,Fortane Cross,,52.87195015,-8.702151147
10865,Ballinahinch Cross,,52.87918233,-8.666805739
10866,Feakle,,52.92633601,-8.648240419
10867,Kilclaran Church,,52.95180797,-8.649737302
10868,Killanena,,52.98449193,-8.702619399
10869,Canny's,,52.989227,-8.702860075
10870,Drumandora,,52.99693489,-8.733210869
10871,Duglawn Cross,,52.97727787,-8.686718938
10872,Doolin,,53.01636465,-9.376747843
10873,Rainbow Hostel,,53.02000409,-9.370588451
10874,New Road,,52.84853372,-8.978207284
10875,Harmony Row,,52.84638565,-8.985804434
10876,Ballaghboy,,52.83967643,-8.945427431
10877,Ballaghboy,,52.83965727,-8.945575447
10878,Drim,,52.83416066,-8.881994867
10879,Drim,,52.83416066,-8.881994867
10880,Quin,,52.81547463,-8.862420262
10881,Quin,,52.81530539,-8.862209225
10882,Knappogue Castle,,52.79563252,-8.826573841
10883,Knappogue Castle,,52.79561444,-8.826588327
10884,Clare Road,,52.83644168,-8.982937352
10885,Kildysart Road,,52.82087189,-8.977793691
10886,Drumquin,,52.7666614,-9.026057373
10887,Lisheen Cross,,52.75542812,-9.043348699
10888,Coolmeen Cross,,52.65952094,-9.214356167
10889,Kildysart,,52.67406468,-9.10789206
10890,Ennis,,52.83935873,-8.975804314
10891,Ennis,,52.83932302,-8.975773828
10892,Ennis,,52.83920681,-8.975697008
10893,Ennis,,52.83943049,-8.975820766
10894,Ennis,,52.83926048,-8.975727897
10895,Ennis,,52.83947506,-8.975866295
10896,Ennis,,52.83952873,-8.975897184
10897,Ennis,,52.83914415,-8.975665917
10898,Wilton Road Pharmacy,,51.88842734,-8.506609774
10899,Parnell Place,,51.89909824,-8.467336791
10900,Parnell Place,,51.89927825,-8.467280536
10901,Parnell Place,,51.89909824,-8.467336791
10902,Convent Avenue,,51.89881557,-8.498967206
10903,Grand Parade,,51.89668672,-8.474678488
10904,Grand Parade,,51.89641752,-8.474559412
10905,Bishops Street,,51.89466118,-8.479844128
10906,Bishops Street,,51.89465225,-8.479829503
10907,Georges Quay,,51.89509347,-8.470738735
10908,Glen Avenue,,51.91057771,-8.458124795
10909,Glen Avenue,,51.91056108,-8.457775798
10910,Deans Hall,,51.87872013,-8.524801211
10911,Deans Hall,,51.87856635,-8.525017283
10912,City Hall Cork,,51.89631775,-8.465782305
10913,Curragh Road,,51.88664189,-8.466655577
10914,Curragh Road,,51.88655258,-8.466509385
10915,Albert Street,,51.89912154,-8.463718865
10916,Knockpogue Avenue,,51.91081562,-8.484027825
10917,Bob and Joan's Walk,,51.90315586,-8.475444213
10918,Bob and Joan's Walk,,51.90308395,-8.475443454
10919,College Road,,51.89181279,-8.496884719
10920,College Road,,51.89181279,-8.496884719
10921,Summerhill North,,51.90293694,-8.460415784
10922,Pearse Road Cork,Pearse Road,51.88262045,-8.478655558
10923,Pearse Road Cork,Pearse Road,51.88268349,-8.478627177
10924,Mahon Park Hill Cork,,51.88701687,-8.42708823
10925,Mahon Park Hill,,51.88691884,-8.426854871
10926,Curragh Road Cork,Curragh Road,51.88664183,-8.466670103
10927,Pearse Road Cork,Pearse Road,51.88218299,-8.471228464
10928,Fairfield Road Cork,Fairfield Road,51.91567315,-8.487568731
10929,Bob and Joan's Walk Cork,Bob and Joan's Walk,51.90309288,-8.47545808
10930,Shandon Street Cork,Shandon Street,51.90294668,-8.478261219
10931,Fairfield Avenue Cork,Fairfield Avenue,51.91614956,-8.47437493
10932,Fairfield Avenue Cork,Fairfield Avenue,51.91554713,-8.47441219
10933,Clontarf Estate,,51.88901482,-8.416400388
10934,Pairc Ui Rinn,,51.89182486,-8.434790287
10935,South Terrace,,51.89425579,-8.466647268
10936,South Mall,,51.89690934,-8.470728651
10937,Cork Tourist Office,Grand Parade,51.89642645,-8.474574036
10938,Mercy University Hospital Cork,Grenville Place,51.89931276,-8.48322125
10939,Mercy University Hospital Cork,Grenville Place,51.89931252,-8.483279371
10940,Centra Store,Saint Patricks Street,51.89828286,-8.475654324
10941,Touramerica.Ie Store,Saint Patricks Street,51.89852761,-8.475148337
10942,Marks And Spencer,Merchants Quay,51.90002609,-8.46910468
10943,Marks And Spencer,Saint Patricks Street,51.89974122,-8.47065653
10944,Colmcille Avenue Cork,Colmcille Avenue,51.91041439,-8.434824439
10945,Glenthorn Cork,Dublin Hill,51.92008598,-8.467845439
10946,South Douglas Road Cork,South Douglas Road,51.87766503,-8.442511104
10947,Glen Avenue Cork,Glen Avenue,51.91034716,-8.457308522
10948,Cork Bus Station,Parnell Place,51.89922443,-8.467250916
10949,Mayfield Cork,North Ring Road,51.9133212,-8.429023834
10950,Old Youghal Road Cork,Old Youghal Road,51.90988173,-8.44978958
10951,Water Fountain,Grand Parade,51.89699134,-8.47492871
10952,Gala Store,Grand Parade,51.89665076,-8.47467811
10953,Coffee Station Shop,Grand Parade,51.89647968,-8.474748957
10954,Cork Kent Train Station,N8 Lower Glanmire Road,51.90214827,-8.457501368
10955,Cork Kent Train Station,N8 Lower Glanmire Road,51.90211864,-8.458184059
10956,Eco Restaurant,Douglas East,51.87716791,-8.436014127
10957,Willow Lawn,,51.89132401,-8.448485612
10958,Willow Lawn,,51.89123473,-8.448324912
10959,Beechwood Drive,,51.8914134,-8.453309898
10960,Bernadette Way,,51.89178226,-8.457875535
10961,Silverdale Road,,51.88701506,-8.432506737
10962,Silverdale Road Cork,,51.88733722,-8.432902058
10963,Boreenmanna Road,,51.89156239,-8.456623862
10964,Ashton School,,51.89140491,-8.453179058
10965,Texaco Skehard Road Cork,,51.89034356,-8.411763727
10966,Skehard Road,,51.89037769,-8.412287045
10967,Church Road,,51.88874471,-8.419056411
10968,Church Road Cork,,51.88864692,-8.418750426
10969,Ashleigh Drive,,51.88759834,-8.42289542
10970,Mahon CSO,,51.88985409,-8.410350059
10971,CSO Link Road Cork,,51.89008826,-8.410221441
10972,City Gate Link Road Cork,,51.88653899,-8.407211153
10973,Link Road,,51.886495,-8.406934748
10974,UCC Western Rd,,51.89570722,-8.487788488
10975,Western Road,,51.89272896,-8.503403704
10976,Western Road Cork,Western Road,51.89272889,-8.503418232
10977,Lough Road Cork,Lough Road,51.89057906,-8.484478683
10978,Lough Road Cork,Lough Road,51.89060561,-8.484580665
10979,Lough Road Cork,Lough Road,51.88598901,-8.485823883
10980,Wallis Store,Saint Patricks Street,51.89823853,-8.473270851
10981,Lifestyle Sports Store,Saint Patricks Street,51.89832194,-8.472646914
10982,Dunnes Stores,Saint Patricks Street,51.89882986,-8.471518849
10983,Black Tie Store,Saint Patricks Street,51.90000271,-8.470455828
10984,Buer King Restaurant,Saint Patricks Street,51.89843102,-8.474580626
10985,Chambers Bar,Washington Street,51.89755049,-8.478915907
10986,The Washington Inn Pub,Washington Street,51.89763453,-8.478146693
10987,Douglas East,East Douglas,51.87771483,-8.436397039
10988,Dublin Pike,Ballincrokig,51.93046091,-8.462936701
10989,Wilton Centre CUH,,51.88186114,-8.509629841
10990,Cork University Hospital,Bandon Road,51.88240173,-8.509345445
10991,Summerhill South,Summer Hill South,51.89131741,-8.468636264
10992,Ida Technology Park Model Farm Road,Model Farm Road,51.88889284,-8.525500788
10993,IDA Model Farm,Model Farm Road,51.88878727,-8.526995889
10994,Tramore Road Cork,Kinsale Road,51.8803136,-8.468884962
10995,Tramore Road Cork,Kinsale Road,51.88030496,-8.468797723
10996,Skehard Road,Skehard Road,51.88703685,-8.426536398
10997,Skehard Road,Skehard Road,51.89058083,-8.410748934
10998,Summerhill South,Windmill Road,51.89120942,-8.468664198
10999,Cork Capwell Depot,Windmill Road,51.89117457,-8.468387799
11000,Mallow Road Barracks,Mallow Road,51.92375295,-8.485751689
11001,Mallow Road Barracks,Mallow Road,51.92318072,-8.485004045
11002,Tivoli,Lower Glanmire Road,51.90312697,-8.426688774
11003,Tivoli,Castle Avenue,51.90319216,-8.426064511
11004,Model Farm Road,Model Farm Road,51.88883518,-8.507921835
11005,Cork Merchants Quay,,51.89993195,-8.467912153
11006,Merchants Quay,,51.8999758,-8.468188699
11007,Merchants Quay,,51.90000317,-8.468087266
11008,MerchantÍs Quay,,51.89998467,-8.468217853
11009,Montenotte,St Christophers Drive,51.90800216,-8.447648891
11010,St Christophers Dr,Murmont Lawn,51.90866722,-8.447684571
11011,St Finbarr's Hosp,Douglas Road,51.88981834,-8.461269608
11012,Sundays Well,Sundays Well Road,51.89563573,-8.504743859
11013,Sundays Well,Sundays Well Road,51.89558198,-8.504699668
11014,St Patrick's Street,St Patricks Street,51.89929984,-8.470884412
11015,St. Patrick's Street,St Patricks Street,51.89894835,-8.471113229
11016,St Patrick's Street,St Patricks Street,51.89906561,-8.47101274
11017,Patrick Street,,51.89919116,-8.471086707
11018,Goal Cross Cork,Western Road,51.89463474,-8.494910792
